YT:ccyg1QuXP74,1523,193,9,21,2018-06-06 15:43:56.489 UTC
YT:qwp-m04TZVM,35436,4682,30,903,2018-06-02 22:21:33.014 UTC
YT:No171nk_Ma0,3023,128,13,80,2018-06-02 18:23:27.323 UTC
YT:s4x7xfVpKjI,53171,514,21,153,2018-06-04 08:40:47.975 UTC
YT:70I88zMQZ3c,89,,9,17,2018-06-07 18:13:24.559 UTC
YT:Anf0qN_rX0A,14660,1705,21,549,2018-06-01 06:34:25.458 UTC
YT:X77def42BPE,11616,87,7,22,2018-06-02 08:42:23.222 UTC
YT:D_6QmL6rExk,9287950,1700665,9412,150054,2018-06-04 11:04:45.361 UTC
YT:0yjLQ_QaHxE,26842,3231,156,395,2018-06-03 16:22:14.637 UTC
