YT:70I88zMQZ3c,89,,9,17,2018-06-07 18:13:24.559 UTC
YT:rNB9SyCobTI,65,,12,19,2018-06-05 06:07:45.016 UTC
YT:lulS6DXFewU,461,,37,27,2018-06-04 10:27:35.979 UTC
YT:rNB9SyCobTI,67,,12,19,2018-06-06 06:43:04.156 UTC
YT:saT3O5O6rTI,369,,34,16,2018-06-06 18:05:55.788 UTC
YT:lulS6DXFewU,497,,39,27,2018-06-06 12:34:02.157 UTC
YT:qB_EAAbKTsM,76,,7,11,2018-06-06 22:32:49.661 UTC
YT:qB_EAAbKTsM,76,,7,11,2018-06-05 22:03:40.06 UTC
YT:saT3O5O6rTI,196,,22,9,2018-06-04 18:04:12.441 UTC
YT:lulS6DXFewU,404,,35,26,2018-06-03 10:27:23.31 UTC
YT:YfXJ1HlMAbs,102,,,,
